Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448810000243468";;AMR-meter;Afname Reactief;0,070;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448810000243468";;AMR-meter;Afname Inductief;0,070;kVArh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448810000243468";;AMR-meter;Afname Actief;0,360;kWh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448810000243468";;AMR-meter;Afname Reactief;0,065;kVArh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448810000243468";;AMR-meter;Afname Inductief;0,065;kVArh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541448810000243468";;AMR-meter;Afname Actief;0,375;kWh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541448810000243468";;AMR-meter;Afname Reactief;0,065;kVArh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541448810000243468";;AMR-meter;Afname Inductief;0,065;kVArh;Gevalideerd;
01-06-2026;04:45:00;01-06-2026;05:00:00;="541448810000243468";;AMR-meter;Afname Actief;0,405;kWh;Gevalideerd;
01-06-2026;04:45:00;01-06-2026;05:00:00;="541448810000243468";;AMR-meter;Afname Reactief;0,070;kVArh;Gevalideerd;
01-06-2026;04:45:00;01-06-2026;05:00:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;04:45:00;01-06-2026;05:00:00;="541448810000243468";;AMR-meter;Afname Inductief;0,070;kVArh;Gevalideerd;
01-06-2026;05:00:00;01-06-2026;05:15:00;="541448810000243468";;AMR-meter;Afname Actief;0,600;kWh;Gevalideerd;
01-06-2026;05:00:00;01-06-2026;05:15:00;="541448810000243468";;AMR-meter;Afname Reactief;0,065;kVArh;Gevalideerd;
01-06-2026;05:00:00;01-06-2026;05:15:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
