Date,Price
15/06/2026 20:00,153.41
15/06/2026 21:00,157.31
15/06/2026 22:00,153.79
15/06/2026 23:00,135.03
16/06/2026 00:00,126.63
16/06/2026 01:00,118.53
16/06/2026 02:00,114.18
16/06/2026 03:00,109.87
16/06/2026 04:00,108.55
16/06/2026 05:00,114.2
16/06/2026 06:00,127.99
16/06/2026 07:00,131.7
16/06/2026 08:00,139.87
16/06/2026 09:00,139.7
16/06/2026 10:00,130.79
16/06/2026 11:00,125.53
16/06/2026 12:00,87.28
16/06/2026 13:00,76.85
16/06/2026 14:00,70.56
16/06/2026 15:00,91.78
16/06/2026 16:00,97.37
16/06/2026 17:00,105.69
16/06/2026 18:00,124.81
16/06/2026 19:00,147.63
16/06/2026 20:00,173.94
16/06/2026 21:00,182.07
16/06/2026 22:00,164.23
16/06/2026 23:00,143.47
17/06/2026 00:00,140.3
17/06/2026 01:00,134.37
17/06/2026 02:00,127.88
17/06/2026 03:00,125.67
17/06/2026 04:00,124.74
17/06/2026 05:00,126.28
17/06/2026 06:00,133.73
17/06/2026 07:00,131.98
17/06/2026 08:00,119.5
17/06/2026 09:00,115.53
17/06/2026 10:00,118.48
17/06/2026 11:00,110.75
17/06/2026 12:00,95.67
17/06/2026 13:00,123.05
17/06/2026 14:00,80.38
17/06/2026 15:00,85.36
17/06/2026 16:00,84.15
17/06/2026 17:00,101.08
17/06/2026 18:00,118.82
17/06/2026 19:00,140.1
17/06/2026 20:00,156.57
17/06/2026 21:00,160.67
17/06/2026 22:00,157.79
17/06/2026 23:00,141.72
18/06/2026 00:00,131.32
18/06/2026 01:00,123.2
18/06/2026 02:00,120.03
18/06/2026 03:00,117.17
18/06/2026 04:00,116.68
18/06/2026 05:00,118.34
18/06/2026 06:00,130.87
18/06/2026 07:00,132.56
18/06/2026 08:00,118.48
18/06/2026 09:00,110.77
18/06/2026 10:00,92.11
18/06/2026 11:00,67.4
18/06/2026 12:00,28.25
18/06/2026 13:00,19.05
18/06/2026 14:00,25.9
18/06/2026 15:00,48.1
18/06/2026 16:00,89.16
18/06/2026 17:00,112
18/06/2026 18:00,134.14
18/06/2026 19:00,255.32
18/06/2026 20:00,438.89
18/06/2026 21:00,445.85
18/06/2026 22:00,267.14
18/06/2026 23:00,163.5
19/06/2026 00:00,147.25
19/06/2026 01:00,132.69
19/06/2026 02:00,122.41
19/06/2026 03:00,118.54
19/06/2026 04:00,114.41
19/06/2026 05:00,118.24
19/06/2026 06:00,134.62
19/06/2026 07:00,127.44
19/06/2026 08:00,119.93
19/06/2026 09:00,117.54
19/06/2026 10:00,102.31
19/06/2026 11:00,35.93
19/06/2026 12:00,15
19/06/2026 13:00,14.76
19/06/2026 14:00,19.57
19/06/2026 15:00,62.18
19/06/2026 16:00,114.53
19/06/2026 17:00,118.5
19/06/2026 18:00,126.49
19/06/2026 19:00,162.85
19/06/2026 20:00,204.8
19/06/2026 21:00,192.8
19/06/2026 22:00,159
19/06/2026 23:00,137.47
20/06/2026 00:00,129.38
20/06/2026 01:00,121.08
20/06/2026 02:00,118.6
20/06/2026 03:00,115.81
20/06/2026 04:00,114.11
20/06/2026 05:00,112.54
20/06/2026 06:00,109.72
20/06/2026 07:00,105.48
20/06/2026 08:00,111.84
20/06/2026 09:00,63.07
20/06/2026 10:00,4.13
20/06/2026 11:00,0
20/06/2026 12:00,-0.01
20/06/2026 13:00,-0.02
20/06/2026 14:00,-0.01
20/06/2026 15:00,0.25
20/06/2026 16:00,17.61
20/06/2026 17:00,80.9
20/06/2026 18:00,118.47
20/06/2026 19:00,140.77
20/06/2026 20:00,169.69
20/06/2026 21:00,176.84
20/06/2026 22:00,164.79
20/06/2026 23:00,143.92
21/06/2026 00:00,141
21/06/2026 01:00,126.71
21/06/2026 02:00,124
21/06/2026 03:00,119.55
21/06/2026 04:00,117.13
21/06/2026 05:00,112.61
21/06/2026 06:00,122.81
21/06/2026 07:00,125.05
21/06/2026 08:00,122.63
21/06/2026 09:00,73.59
21/06/2026 10:00,1.36
21/06/2026 11:00,0
21/06/2026 12:00,-0.01
21/06/2026 13:00,-0.01
21/06/2026 14:00,-0.01
21/06/2026 15:00,0.01
21/06/2026 16:00,12.16
21/06/2026 17:00,71.16
21/06/2026 18:00,112.79
21/06/2026 19:00,130.92
21/06/2026 20:00,146.39
21/06/2026 21:00,150.82
21/06/2026 22:00,145.19
21/06/2026 23:00,132.63
22/06/2026 00:00,125.38
22/06/2026 01:00,118.93
22/06/2026 02:00,109.6
22/06/2026 03:00,107.42
22/06/2026 04:00,109.64
22/06/2026 05:00,118.27
22/06/2026 06:00,134.49
22/06/2026 07:00,144.56
22/06/2026 08:00,127.97
22/06/2026 09:00,116.75
22/06/2026 10:00,91.71
22/06/2026 11:00,57.3
22/06/2026 12:00,39.52
22/06/2026 13:00,32.38
22/06/2026 14:00,51.92
22/06/2026 15:00,64.41
22/06/2026 16:00,90.87
22/06/2026 17:00,113.53
22/06/2026 18:00,142.7
22/06/2026 19:00,194.2
22/06/2026 20:00,266.26
